
2024/08/04 (16:29:25) | ===> btop++ v.1.3.2
2024/08/04 (16:29:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (18:05:44) | ===> btop++ v.1.3.2
2024/08/04 (18:05:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (22:34:12) | ===> btop++ v.1.3.2
2024/08/04 (22:34:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (18:01:15) | ===> btop++ v.1.3.2
2024/08/06 (18:01:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (21:31:57) | ===> btop++ v.1.3.2
2024/08/06 (21:31:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (23:27:07) | ===> btop++ v.1.3.2
2024/08/07 (23:27:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (21:23:14) | ===> btop++ v.1.3.2
2024/08/10 (21:23:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:22:17) | ===> btop++ v.1.3.2
2024/08/12 (16:22:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
